emp_no,first_name,last_name,salary
10001,Georgi,Facello,60117
10005,Kyoichi,Maliniak,78228
10005,Kyoichi,Maliniak,78228
10011,Mary,Sluis,42365
10018,Kazuhide,Peha,55881
10018,Kazuhide,Peha,55881
10019,Lillian,Haddadi,44276
10026,Yongqiao,Berztiss,47585
10026,Yongqiao,Berztiss,47585
10035,Alain,Chappelet,41538
10035,Alain,Chappelet,41538
10051,Hidefumi,Caine,48817
10051,Hidefumi,Caine,48817
10058,Berhard,McFarlin,52787
10072,Hironoby,Sidou,40000
10072,Hironoby,Sidou,40000
10091,Amabile,Gomatam,40000
10091,Amabile,Gomatam,40000
10096,Jayson,Mandell,61395
10126,Kayoko,Valtorta,40000
10126,Kayoko,Valtorta,40000
10127,Subir,Baja,40000
10138,Perry,Shimshoni,53574
10138,Perry,Shimshoni,53574
10150,Zhenbing,Perng,70122
10150,Zhenbing,Perng,70122
10160,Debatosh,Khasidashvili,91622
10160,Debatosh,Khasidashvili,91622
10177,Pragnesh,Iisaka,48041
10183,Mechthild,Bonifati,40000
10189,Khalid,Erva,41222
10219,Genta,Kolvik,40000
10228,Karoline,Cesareni,79474
10228,Karoline,Cesareni,79474
10248,Frederique,Tempesti,58918
10248,Frederique,Tempesti,58918
10278,Lubomir,Nitsch,51703
10283,Kauko,Birjandi,40000
10283,Kauko,Birjandi,40000
10294,Rutger,Miara,66448
10302,Faiza,Baer,58239
10302,Faiza,Baer,58239
10321,Guenter,Ravishankar,86819
10340,Djelloul,Laventhal,68132
10340,Djelloul,Laventhal,68132
10347,Pradeep,Kaminger,42199
10353,Phule,Hammerschmidt,62656
10363,Toshiki,Muniz,40401
10364,Nakhoon,Dengi,51401
10367,Hyuckchul,Gini,63565
10367,Hyuckchul,Gini,63565
10374,Willard,Rosin,69568
10387,Parto,Wrigley,61374
10387,Parto,Wrigley,61374
10396,Sibyl,Rahier,40393
10443,Shichao,Litvinov,55299
10453,Tsvetan,Matzel,40000
10453,Tsvetan,Matzel,40000
10494,Yakkov,Servieres,50094
10494,Yakkov,Servieres,50094
10517,Tiina,Speek,65330
10519,Yonghoan,Alencar,40000
10519,Yonghoan,Alencar,40000
10529,Ymte,Yetto,47840
10538,Przemyslawa,Falby,72002
10548,Ramalingam,Gunderson,90631
10548,Ramalingam,Gunderson,90631
10564,Jianhao,Thisen,46660
10564,Jianhao,Thisen,46660
10591,Hidde,Hettesheimer,55131
10614,Gila,Ozeri,40000
10614,Gila,Ozeri,40000
10628,Krisda,Krogh,41650
10628,Krisda,Krogh,41650
10628,Krisda,Krogh,41650
10639,Pramod,Erol,46291
10639,Pramod,Erol,46291
10672,Bluma,Zeilberger,64663
10676,Valeri,Danley,58226
10696,Unal,Fendler,68913
10726,Zita,Minakawa,46315
10726,Zita,Minakawa,46315
10741,Sven,Huttel,50265
10741,Sven,Huttel,50265
10749,King,Brendel,60829
10749,King,Brendel,60829
10764,Yunming,Beetstra,70720
10764,Yunming,Beetstra,70720
10780,Goncalo,Staudhammer,43654
10791,Tadahiko,Sgarro,40000
10791,Tadahiko,Sgarro,40000
10830,Fen,Fiebach,47420
10830,Fen,Fiebach,47420
10833,Krisda,Gecseg,40000
10835,Tomoyuki,Kermarrec,40000
10847,Theirry,Danley,40000
10847,Theirry,Danley,40000
10848,Fen,Bratsberg,50475
10848,Fen,Bratsberg,50475
